75.0,43.0,0.0,0.0,0.0
73.0,46.0,0.0,0.0,0.0
78.0,48.0,0.0,0.0,0.0
84.0,52.0,0.0,0.0,0.0
84.0,59.0,0.0,0.0,0.0
86.0,72.0,0.0,0.0,0.0
86.0,67.0,0.0,0.0,0.0
73.0,65.0,0.0,0.0,0.0
65.0,59.0,0.0,0.0,0.0
64.0,59.0,0.0,1.0,0.0
71.0,46.0,0.0,0.0,0.0
63.0,38.0,0.0,0.0,0.0
71.0,39.0,0.0,0.0,0.0
73.0,40.0,0.0,0.0,0.0
76.0,49.0,0.0,0.0,0.0
76.0,53.0,0.0,0.0,0.0
73.0,53.0,0.0,0.0,0.0
64.0,46.0,0.0,0.0,0.0
59.0,40.0,0.0,0.0,0.0
68.0,35.0,0.0,0.0,0.0
57.0,44.0,0.0,0.0,0.0
60.0,37.0,0.0,0.0,0.0
60.0,43.0,0.0,0.0,0.0
76.0,49.0,0.0,0.0,0.0
77.0,49.0,0.0,0.0,0.0
72.0,51.0,0.0,0.0,0.0
51.0,40.0,0.0,0.0,0.0
49.0,40.0,0.0,0.0,0.0
56.0,39.0,0.0,0.0,0.0
46.0,28.0,0.0,1.0,0.0
50.0,33.0,0.0,0.0,0.0
50.0,32.0,0.0,0.0,0.0
52.0,29.0,0.0,0.0,0.0
60.0,42.0,0.0,0.0,0.0
53.0,32.0,0.0,0.0,0.0
50.0,34.0,0.0,1.0,0.0
61.0,29.0,0.0,0.0,0.0
57.0,31.0,0.0,1.0,0.0
44.0,27.0,0.0,0.0,0.0
54.0,25.0,0.0,0.0,0.0
58.0,36.0,0.0,0.0,0.0
63.0,32.0,0.0,0.0,0.0
67.0,36.0,0.0,0.0,0.0
56.0,34.0,0.0,0.0,0.0
55.0,31.0,0.0,0.0,0.0
53.0,28.0,0.0,0.0,0.0
61.0,35.0,0.0,0.0,0.0
56.0,37.0,0.0,0.0,0.0
49.0,32.0,0.0,0.0,0.0
40.0,34.0,0.0,0.0,0.0
47.0,34.0,1.0,0.0,0.0
47.0,23.0,0.0,0.0,0.0
32.0,20.0,0.0,0.0,0.0
41.0,28.0,0.0,0.0,0.0
29.0,19.0,0.0,0.0,0.0
56.0,34.0,0.0,0.0,0.0
60.0,39.0,0.0,0.0,0.0
54.0,28.0,0.0,0.0,0.0
45.0,24.0,0.0,0.0,0.0
24.0,11.0,0.0,0.0,1.0
30.0,5.0,0.0,0.0,0.0
26.0,14.0,1.0,1.0,1.0
19.0,10.0,1.0,0.0,1.0
35.0,13.0,0.0,0.0,1.0
49.0,22.0,0.0,0.0,0.0
42.0,21.0,0.0,0.0,0.0
62.0,40.0,0.0,0.0,0.0
63.0,53.0,0.0,1.0,0.0
29.0,13.0,0.0,1.0,0.0
40.0,28.0,0.0,0.0,0.0
34.0,18.0,1.0,1.0,1.0
42.0,11.0,1.0,0.0,0.0
52.0,20.0,0.0,0.0,0.0
62.0,42.0,0.0,0.0,0.0
64.0,43.0,0.0,0.0,0.0
44.0,30.0,0.0,0.0,0.0
39.0,22.0,0.0,0.0,0.0
42.0,19.0,0.0,0.0,0.0
47.0,40.0,0.0,0.0,0.0
40.0,21.0,0.0,0.0,1.0
38.0,16.0,0.0,0.0,0.0
52.0,37.0,0.0,0.0,0.0
41.0,16.0,0.0,0.0,0.0
36.0,22.0,0.0,1.0,1.0
40.0,22.0,0.0,0.0,0.0
39.0,26.0,0.0,1.0,1.0
35.0,20.0,0.0,0.0,0.0
43.0,20.0,0.0,0.0,0.0
62.0,33.0,0.0,0.0,0.0
39.0,29.0,0.0,0.0,0.0
52.0,31.0,0.0,0.0,0.0
69.0,43.0,0.0,0.0,0.0
62.0,37.0,0.0,0.0,0.0
48.0,32.0,0.0,1.0,0.0
76.0,48.0,0.0,0.0,0.0
79.0,52.0,0.0,0.0,0.0
67.0,41.0,0.0,0.0,0.0
44.0,39.0,0.0,0.0,0.0
52.0,33.0,0.0,0.0,0.0
58.0,27.0,0.0,0.0,0.0
65.0,41.0,0.0,0.0,0.0
53.0,45.0,0.0,0.0,1.0
48.0,36.0,0.0,1.0,0.0
48.0,30.0,0.0,1.0,0.0
45.0,24.0,0.0,0.0,0.0
42.0,32.0,1.0,0.0,0.0
43.0,30.0,0.0,0.0,0.0
45.0,31.0,0.0,0.0,0.0
44.0,28.0,0.0,0.0,0.0
45.0,31.0,0.0,0.0,0.0
41.0,28.0,0.0,0.0,0.0
50.0,31.0,0.0,0.0,0.0
44.0,27.0,0.0,0.0,0.0
58.0,28.0,0.0,0.0,0.0
39.0,30.0,0.0,0.0,0.0
34.0,31.0,0.0,1.0,1.0
47.0,31.0,4.0,1.0,0.0
48.0,31.0,0.0,0.0,0.0
48.0,27.0,0.0,0.0,0.0
45.0,28.0,0.0,1.0,0.0
53.0,41.0,0.0,0.0,0.0
72.0,47.0,0.0,0.0,0.0
75.0,43.0,0.0,0.0,0.0
51.0,39.0,0.0,0.0,0.0
48.0,43.0,0.0,0.0,0.0
